QKEY,pre_accuracy,pre_percentile,pre_average_difficulty,pre_self_difficulty,Q1_W1,Q2_W1,Q3_W1,Q4_W1,Q5_W1,Q6_W1,Q7_W1,Q8_W1,Q9_W1,Q10_W1,Q11_W1,Q12_W1,Q13_W1,Q14_W1,Q15_W1,Q16_W1,Q17_W1,Q18_W1,Q19_W1,Q20_W1,post_accuracy,post_percentile,post_average_difficulty,post_self_difficulty,WEIGHT_W1
2000023,11,43,6,6,2,2,1,3,1,5,1,2,2,5,5,4,1,2,4,1,1,3,4,1,7,41,6,7,1.0
2000024,10,30,4,5,2,2,3,2,3,3,4,1,3,5,5,4,3,2,4,1,1,1,4,2,10,30,6,7,1.0
2000025,8,31,5,6,3,2,1,2,3,5,4,2,3,5,5,2,1,3,4,5,2,4,1,2,6,6,6,9,1.0
2000026,10,18,5,10,1,2,2,3,1,5,3,3,1,5,4,4,1,2,5,5,4,2,4,2,12,50,5,7,1.0
2000027,14,73,5,5,2,2,2,3,3,5,4,2,1,5,1,3,1,2,4,5,1,3,4,1,10,51,5,5,1.0
2000028,17,85,5,3,5,2,1,3,3,5,4,2,3,5,3,4,1,2,4,1,5,1,5,1,14,67,7,4,1.0
2000029,16,72,7,3,2,2,2,3,3,5,3,2,1,5,1,4,5,2,5,1,1,1,1,2,13,30,10,8,1.0
2000030,18,90,5,2,2,2,1,3,3,5,4,2,3,5,2,4,1,2,4,5,5,1,4,1,16,41,7,4,1.0
2000031,18,81,5,2,2,2,1,3,3,5,1,2,4,5,3,4,1,2,4,5,5,3,4,3,13,67,8,5,1.0
2000032,16,75,5,2,2,2,5,3,3,5,3,2,2,5,3,4,1,4,4,5,1,1,5,1,12,50,7,5,1.0
2000033,12,53,6,5,2,2,3,3,3,5,3,2,1,5,3,4,1,2,5,2,5,1,4,3,8,34,6,8,1.0
2000034,14,55,6,5,4,2,1,3,3,5,4,2,4,5,2,4,5,4,4,1,5,3,4,1,15,65,9,8,1.0
2000035,15,75,5,4,2,2,1,3,3,5,3,2,2,5,3,4,5,2,4,1,5,1,4,3,13,70,7,6,1.0
2000036,20,80,4,2,2,2,2,3,4,1,4,2,4,5,1,3,5,2,4,1,1,3,4,1,16,72,5,4,1.0
2000037,16,75,7,4,2,2,3,3,3,5,3,2,2,5,2,3,1,5,5,4,5,5,4,1,13,48,7,7,1.0
2000038,18,61,2,2,4,3,4,3,2,5,4,4,5,5,5,1,5,5,5,5,5,1,5,2,12,49,2,2,1.0
2000039,8,51,8,6,2,2,3,3,4,5,3,2,1,5,3,4,5,2,4,1,5,1,4,1,10,51,8,6,1.0
2000040,10,50,5,3,3,3,1,3,3,2,1,3,1,5,4,4,5,4,4,1,1,4,4,2,10,50,6,4,1.0
2000041,17,75,6,3,3,2,1,3,3,5,4,2,2,5,4,4,5,4,4,1,5,1,4,4,16,61,7,5,1.0
2000042,15,70,5,7,2,2,5,3,3,5,3,2,4,5,1,4,1,1,4,1,1,1,4,5,8,50,5,5,1.0
2000043,15,60,2,3,2,2,5,3,1,5,3,1,3,5,3,2,5,2,5,1,5,1,4,5,15,54,2,4,1.0
2000044,15,70,6,3,2,2,1,3,3,5,4,2,2,5,1,4,1,2,4,1,1,3,4,1,13,65,8,6,1.0
2000045,10,25,4,4,3,2,5,3,3,5,3,2,3,5,3,2,5,2,4,3,5,1,4,2,10,25,5,5,1.0
2000046,15,71,5,3,2,2,1,3,1,4,3,2,1,5,3,4,1,2,4,1,2,1,4,4,12,71,9,7,1.0
2000047,17,75,9,8,1,5,4,4,1,4,1,1,4,4,1,4,4,5,3,1,5,3,1,1,20,84,10,8,1.0
2000048,15,91,6,3,1,5,1,3,1,5,1,2,1,5,2,3,1,2,5,1,1,1,4,1,10,50,8,7,1.0
2000049,17,71,5,3,1,2,2,3,4,1,3,1,1,5,1,1,2,2,5,1,1,4,4,1,13,35,8,9,1.0
2000050,17,90,4,2,3,3,1,3,4,5,2,2,1,1,3,4,5,3,1,1,5,2,4,2,16,80,5,3,1.0
2000051,15,51,6,6,2,2,2,3,3,5,3,3,1,5,1,5,1,2,5,5,5,1,1,2,12,44,6,6,1.0
2000052,16,67,4,4,2,2,3,3,1,5,4,2,1,5,2,1,1,3,4,1,1,1,5,2,14,60,6,7,1.0
2000053,15,80,4,3,3,3,5,3,2,4,1,1,5,5,2,5,5,4,4,4,2,1,1,3,10,60,8,8,1.0
2000054,20,90,3,1,4,2,5,3,3,5,4,2,2,5,3,4,5,2,4,5,5,1,4,2,16,85,3,2,1.0
2000055,9,38,5,7,3,5,2,3,1,3,2,1,1,5,5,1,5,4,2,1,2,1,4,4,9,33,6,4,1.0
2000056,20,95,3,1,2,3,3,3,3,5,3,2,2,5,1,4,1,2,5,4,2,3,1,4,19,90,5,2,1.0
2000057,19,91,7,2,2,2,3,3,3,5,2,2,3,5,2,4,1,2,4,1,5,1,4,1,11,58,7,7,1.0
2000058,18,86,6,4,2,2,1,3,3,5,4,2,2,5,2,4,5,4,4,1,1,3,4,1,14,55,8,6,1.0
2000059,10,50,6,7,2,5,1,3,1,5,4,2,4,5,3,4,1,4,5,5,5,3,4,1,9,33,6,8,1.0
2000060,15,75,6,8,5,2,4,3,3,4,4,2,3,2,1,5,2,5,2,4,5,4,4,3,15,75,9,9,1.0
2000061,15,70,4,2,2,3,5,4,3,5,1,2,3,5,2,4,1,1,4,1,1,1,4,2,12,60,6,4,1.0
2000062,10,40,6,6,2,1,4,4,1,5,4,1,1,2,5,4,5,3,5,1,1,5,1,1,5,11,10,10,1.0
2000063,20,100,1,1,2,2,2,3,4,5,2,1,1,1,1,4,2,2,4,5,2,3,3,4,20,100,1,1,1.0
2000064,8,23,3,7,1,3,1,4,4,5,4,2,1,5,3,4,5,2,4,1,5,1,5,1,9,17,5,10,1.0
2000065,12,50,5,5,2,2,1,3,1,5,2,2,1,5,3,4,5,2,4,1,3,3,1,5,10,41,5,7,1.0
2000066,8,50,6,6,2,2,1,3,3,3,4,2,1,5,1,3,5,2,4,1,2,1,4,1,12,50,6,6,1.0
2000067,14,71,7,8,2,2,5,3,3,5,3,2,2,5,2,4,5,2,5,5,5,1,4,3,18,80,8,8,1.0
2000068,5,50,4,4,2,2,1,3,3,1,3,1,1,5,5,4,5,3,1,1,2,4,4,3,10,50,4,4,1.0
2000069,15,67,6,5,2,2,1,3,3,5,1,2,5,5,3,4,5,2,4,1,1,1,4,2,16,80,6,4,1.0
2000070,15,60,5,4,2,5,3,3,3,5,3,1,3,5,2,4,1,4,5,1,2,3,1,1,8,25,7,9,1.0
2000071,12,61,8,6,3,2,1,3,1,5,2,1,4,1,3,2,2,2,5,1,2,1,4,1,8,30,6,7,1.0
2000072,15,80,5,2,2,2,1,3,3,5,3,2,2,5,2,4,1,4,4,5,5,1,4,4,10,50,7,5,1.0
2000073,14,74,6,3,2,2,5,3,1,5,3,2,1,5,2,4,5,2,4,5,5,1,4,3,14,60,6,5,1.0
2000074,12,30,3,4,2,2,3,3,3,3,4,1,3,5,3,4,1,2,5,5,2,1,4,1,10,28,4,6,1.0
2000075,20,91,7,1,2,2,1,3,3,5,3,2,2,5,2,4,5,2,5,1,1,1,1,4,15,86,8,3,1.0
2000076,14,65,9,5,4,2,2,3,1,2,3,2,5,5,5,5,1,3,5,5,1,3,4,5,12,60,9,6,1.0
2000077,18,90,3,1,2,2,5,3,3,2,3,2,2,5,3,4,3,2,4,1,4,1,4,4,15,80,7,4,1.0
2000078,14,91,9,7,4,1,5,5,5,3,4,3,3,3,5,2,5,2,4,1,4,2,4,4,20,93,8,9,1.0
2000079,16,85,5,3,2,2,4,3,3,5,4,2,1,5,3,4,5,2,5,5,5,3,4,2,14,75,5,3,1.0
2000080,10,45,9,5,2,5,2,3,3,5,4,3,1,5,4,4,5,4,4,5,2,2,5,2,5,20,8,9,1.0
2000081,15,40,4,2,5,2,4,3,3,4,4,2,4,5,2,4,5,2,4,1,1,3,5,4,7,10,8,8,1.0
2000082,15,60,5,4,4,3,4,2,4,3,5,3,1,1,5,1,5,4,3,3,4,2,4,2,12,62,8,6,1.0
2000083,5,20,10,10,3,2,4,5,5,3,3,2,3,2,2,5,1,1,5,4,5,3,2,4,5,20,10,10,1.0
2000084,15,80,7,5,2,2,1,3,3,2,4,2,3,5,3,4,1,2,4,5,5,1,4,1,10,48,9,9,1.0
2000085,12,37,3,4,3,2,4,3,3,4,1,5,2,1,5,3,4,2,5,5,5,4,3,1,11,33,7,8,1.0
2000086,15,82,6,4,2,2,3,3,3,5,4,2,1,5,5,4,2,2,5,5,5,1,4,5,15,72,6,3,1.0
2000087,14,91,10,10,1,2,3,4,2,2,5,1,1,4,3,3,5,2,4,3,5,3,5,4,17,93,10,10,1.0
2000088,12,50,5,6,2,2,4,3,3,5,4,2,3,5,5,4,1,2,4,5,5,1,4,2,7,35,6,10,1.0
2000089,15,70,5,3,2,2,4,3,1,5,4,2,4,5,1,4,1,4,4,1,1,1,4,1,18,75,5,3,1.0
2000090,16,90,4,3,4,3,3,3,3,2,3,3,3,5,5,4,5,5,4,3,4,4,4,4,16,80,6,4,1.0
2000091,17,80,7,5,2,2,3,3,1,5,3,2,1,5,3,3,1,2,4,1,5,1,5,1,17,80,7,5,1.0
2000092,18,62,4,3,2,2,1,3,1,5,1,1,1,5,5,4,1,2,5,1,1,1,1,5,15,40,3,4,1.0
2000093,10,51,6,6,2,1,3,3,3,4,2,2,2,5,1,5,5,3,2,3,1,3,4,2,10,50,6,6,1.0
2000094,18,80,3,2,5,2,3,3,2,5,4,2,2,5,1,3,3,2,4,5,5,3,4,3,3,10,9,10,1.0
2000095,18,80,5,2,4,2,3,5,3,5,2,2,1,5,3,4,5,2,4,5,1,1,4,2,15,80,5,3,1.0
2000096,8,40,3,10,3,2,3,5,3,5,3,1,2,5,1,3,5,2,4,5,4,4,5,3,8,34,3,10,1.0
2000097,19,95,5,1,2,2,1,3,3,5,3,2,4,5,2,4,1,4,4,1,1,3,4,1,19,95,3,1,1.0
2000098,7,64,9,8,1,3,2,2,1,5,3,2,2,5,4,4,4,1,4,1,2,2,3,1,7,66,9,8,1.0
2000099,15,75,4,2,2,2,1,3,4,5,4,2,4,5,2,4,1,2,4,1,5,1,4,1,15,80,5,3,1.0
2000100,16,80,5,2,2,2,1,3,3,5,2,2,1,5,2,4,1,4,4,1,1,1,4,1,15,80,4,2,1.0
2000101,10,67,4,5,4,5,3,3,1,5,3,3,1,5,1,1,5,4,4,5,1,1,5,4,20,84,8,8,1.0
2000102,13,70,5,3,2,2,1,3,3,5,2,2,3,5,5,4,1,2,4,1,1,1,4,1,10,60,6,5,1.0
2000103,7,31,4,7,2,2,5,3,3,1,2,2,2,5,4,4,1,4,4,5,2,1,1,1,15,45,5,7,1.0
2000104,15,75,6,4,2,5,1,3,1,5,3,2,1,5,2,4,5,4,4,1,5,1,1,5,10,55,8,7,1.0
2000105,15,60,5,2,3,2,2,3,3,1,3,1,1,5,5,4,5,2,4,1,1,4,5,1,15,63,9,8,1.0
2000106,13,51,5,4,4,2,4,3,3,5,2,1,3,5,5,1,2,4,5,5,5,1,4,1,11,50,6,6,1.0
2000107,13,67,7,8,2,2,4,4,3,5,3,3,3,5,1,2,3,2,2,4,5,5,4,3,15,81,7,8,1.0
2000108,14,75,8,7,1,5,4,3,4,5,2,3,3,5,1,5,3,3,2,2,4,4,5,2,17,83,8,9,1.0
2000109,13,71,6,2,2,2,5,3,3,5,4,2,4,5,2,4,1,2,5,1,5,3,4,1,12,58,7,5,1.0
2000110,18,85,4,2,2,2,3,3,3,5,3,2,2,5,3,4,5,4,4,5,1,3,1,1,15,75,8,6,1.0
2000111,10,26,6,4,3,5,2,3,3,2,3,3,3,5,1,1,4,3,5,5,4,3,1,5,6,18,8,7,1.0
2000112,18,80,5,3,2,2,1,3,1,5,3,2,1,5,3,4,3,1,5,1,1,1,2,1,15,65,5,4,1.0
2000113,18,75,3,5,3,2,3,3,3,5,2,2,1,5,2,4,5,4,4,5,1,2,4,3,15,32,6,8,1.0
2000114,15,70,6,3,3,2,2,3,3,5,3,2,4,5,5,2,5,2,5,5,5,1,4,3,14,67,7,5,1.0
2000115,17,81,6,2,3,2,1,3,3,5,2,2,4,5,2,4,1,2,4,3,1,1,4,5,16,68,7,8,1.0
2000116,14,40,5,5,3,2,3,3,3,5,4,2,2,5,1,4,5,2,4,1,2,1,4,1,14,40,5,6,1.0
2000117,14,67,8,4,4,2,5,4,3,5,2,2,2,5,1,3,1,2,2,1,1,2,4,1,10,59,9,7,1.0
2000118,16,78,4,2,2,2,1,3,3,5,4,2,1,5,3,4,5,2,5,1,2,1,4,4,16,76,5,2,1.0
2000119,18,74,2,2,3,2,3,3,1,4,3,1,1,5,1,4,1,2,3,5,5,1,4,4,11,55,5,4,1.0
2000120,12,82,7,5,3,2,1,3,1,5,4,2,2,5,1,4,1,3,4,3,1,1,4,2,10,52,7,5,1.0
2000121,15,75,3,3,2,2,1,3,3,5,4,2,2,5,3,2,5,4,4,4,1,1,4,1,13,64,5,5,1.0
2000122,15,60,6,4,2,2,1,3,1,5,3,2,3,1,3,4,1,2,4,1,2,3,4,1,13,61,6,4,1.0
2000123,20,84,4,3,4,2,4,3,3,5,4,1,5,5,4,4,5,2,5,5,5,4,4,3,17,76,4,3,1.0
2000124,16,75,2,3,3,2,3,3,3,5,4,2,2,5,3,4,5,2,4,3,4,4,5,2,12,50,4,4,1.0
2000125,5,32,4,5,1,2,2,3,1,4,4,1,2,5,1,2,2,2,5,1,1,2,1,3,10,38,3,8,1.0
2000126,13,70,6,4,3,2,3,3,3,5,2,2,2,5,3,4,1,3,4,3,4,1,5,4,10,55,7,5,1.0
2000127,10,49,2,6,3,2,5,1,3,4,1,1,1,3,1,2,1,1,5,4,1,3,2,1,7,37,6,9,1.0
2000128,12,50,5,3,2,3,3,3,4,5,1,2,1,5,1,4,1,2,4,5,2,1,4,5,8,43,4,2,1.0
2000129,14,34,5,5,2,3,2,2,4,5,2,2,3,5,4,1,3,3,4,1,5,1,4,3,10,33,7,8,1.0
2000130,10,32,5,4,2,5,3,3,1,4,3,1,1,5,4,4,3,2,4,5,2,1,1,1,10,50,6,6,1.0
2000131,13,59,5,6,3,3,1,4,3,5,5,2,2,2,3,1,5,2,1,3,5,4,1,5,8,25,7,8,1.0
2000132,18,76,3,2,3,2,1,3,1,5,2,2,1,1,3,4,1,3,4,5,5,1,4,1,10,46,5,5,1.0
2000133,10,40,3,6,2,2,2,3,1,5,3,2,2,5,1,4,1,2,4,1,5,3,1,1,8,34,4,7,1.0
2000134,16,89,5,3,2,3,1,1,1,5,1,1,1,5,4,4,3,2,4,5,1,4,4,5,11,69,9,6,1.0
2000135,15,64,7,5,2,2,3,3,1,5,2,3,1,5,2,4,5,2,1,5,5,1,5,1,10,51,9,7,1.0
2000136,15,60,5,2,2,3,3,3,1,5,2,2,1,5,1,1,1,1,4,4,5,3,5,4,12,46,5,4,1.0
2000137,15,90,4,3,1,2,4,3,1,1,4,3,1,5,1,1,2,2,5,1,5,3,5,1,10,51,8,5,1.0
2000138,16,75,4,3,2,2,3,3,3,5,4,2,4,5,2,4,5,2,4,1,2,1,4,2,14,60,5,4,1.0
2000139,12,60,4,2,2,2,5,3,3,4,2,2,1,5,3,4,5,4,5,1,5,1,4,4,10,40,7,7,1.0
2000140,12,70,6,4,2,2,1,3,3,5,4,2,3,5,3,4,1,2,4,1,5,1,4,1,12,70,5,3,1.0
2000141,15,75,4,3,3,2,5,3,3,5,3,2,3,5,2,4,1,4,4,5,1,3,4,4,12,51,6,7,1.0
2000142,20,71,5,1,4,5,1,3,1,5,3,2,1,5,1,4,1,2,1,5,2,1,1,3,20,70,5,1,1.0
2000143,5,62,4,7,4,5,3,3,3,5,4,2,1,5,3,3,5,1,4,5,5,5,4,3,9,63,4,8,1.0
2000144,17,65,5,4,3,2,1,3,1,5,4,2,2,5,1,2,1,2,4,5,1,1,4,4,11,29,4,6,1.0
2000145,10,53,3,3,2,3,1,5,1,5,1,1,1,5,3,4,1,4,5,1,1,3,1,4,10,53,3,3,1.0
2000146,19,90,8,1,2,2,1,3,3,5,2,2,1,5,2,4,5,2,4,5,1,1,4,1,16,60,6,5,1.0
2000147,18,94,6,1,4,2,1,3,1,5,4,2,2,5,5,4,5,4,4,5,1,1,4,1,17,92,8,3,1.0
2000148,19,91,3,1,2,2,1,3,3,5,1,2,2,5,2,4,5,2,4,3,5,3,4,1,14,70,5,3,1.0
2000149,19,90,5,2,3,2,5,3,3,3,3,2,4,5,2,4,5,2,5,1,5,1,4,5,15,80,6,3,1.0
2000150,14,69,3,3,3,2,3,3,1,5,4,2,3,5,3,1,2,3,4,5,1,1,5,4,10,51,7,7,1.0
2000151,15,96,5,2,2,2,1,3,4,2,4,2,3,5,3,4,1,3,4,1,5,1,4,3,10,62,4,3,1.0
2000152,15,51,5,5,4,2,4,3,3,5,4,2,3,5,3,4,2,2,5,5,5,3,4,4,15,51,8,8,1.0
2000153,18,79,4,2,2,2,1,3,1,5,3,1,2,5,4,4,5,4,4,1,1,1,5,4,12,47,7,6,1.0
2000154,10,65,6,3,3,2,5,3,1,5,2,2,2,5,3,2,1,2,4,1,5,1,4,1,6,50,8,7,1.0
2000155,18,90,6,3,2,5,1,5,1,3,2,2,3,5,1,1,1,5,3,5,1,2,4,3,12,56,9,8,1.0
2000156,18,90,6,3,3,5,3,3,3,5,4,2,5,5,2,4,5,2,4,1,5,1,5,1,15,61,7,5,1.0
2000157,18,84,4,3,2,2,5,3,4,3,2,3,2,5,3,1,3,3,1,3,4,3,1,5,16,69,5,6,1.0
2000158,15,60,7,3,3,2,5,3,3,5,3,1,2,1,1,2,3,3,5,2,1,3,3,5,8,40,7,9,1.0
2000159,11,51,8,7,2,3,3,3,3,1,3,2,1,5,2,3,1,2,4,5,2,1,4,1,7,32,10,10,1.0
2000160,20,51,1,1,3,3,3,3,3,5,2,1,3,5,3,1,1,4,4,1,5,1,2,3,20,98,1,1,1.0
2000161,15,20,5,3,4,5,3,3,3,5,4,3,3,5,3,4,5,2,5,3,4,4,4,3,10,30,5,6,1.0
2000162,15,52,6,5,2,2,1,3,5,2,3,1,1,5,4,2,1,2,4,3,1,2,5,1,14,60,6,4,1.0
2000163,17,83,3,3,4,2,4,3,1,3,3,1,1,5,3,2,1,1,2,5,5,1,5,1,15,69,5,5,1.0
2000164,10,40,6,8,3,5,5,3,1,5,3,1,2,5,1,4,1,1,1,1,1,1,4,4,10,40,6,8,1.0
2000165,15,83,4,3,2,2,5,3,1,5,3,2,2,5,5,4,5,3,2,3,5,4,4,4,17,88,3,1,1.0
2000166,12,50,5,5,2,2,1,3,3,5,2,2,1,5,3,4,1,4,4,1,5,1,4,1,10,40,5,8,1.0
2000167,10,74,6,3,4,2,5,3,4,5,3,2,3,5,3,4,3,2,4,5,5,4,4,5,12,74,6,4,1.0
2000168,18,90,6,2,2,2,2,3,3,5,4,2,4,5,2,4,5,2,4,1,1,1,4,1,17,87,8,5,1.0
2000169,16,88,7,1,3,2,1,3,3,5,3,2,3,5,3,4,1,4,4,1,1,3,4,1,15,72,3,1,1.0
2000170,20,90,4,1,2,2,1,3,1,5,3,2,2,5,3,4,5,4,4,1,1,1,4,1,10,50,10,9,1.0
2000171,12,62,5,2,2,2,3,3,3,5,3,2,3,5,4,4,5,3,4,1,5,1,4,1,5,34,8,5,1.0
2000172,12,50,1,1,3,2,1,3,1,5,4,2,2,5,1,4,5,2,5,5,1,3,4,4,5,5,4,10,1.0
2000173,7,71,7,9,1,5,2,3,4,5,1,5,3,5,4,3,5,4,5,1,5,2,5,2,7,73,10,8,1.0
2000174,16,89,6,4,3,2,3,3,3,5,3,1,1,5,1,1,5,5,4,5,5,3,4,2,11,78,9,8,1.0
2000175,5,100,3,9,2,5,4,3,5,4,1,3,4,1,5,1,3,4,2,2,2,5,1,3,5,86,7,10,1.0
2000176,15,60,5,4,2,2,1,3,3,5,3,1,4,5,3,4,1,4,4,5,1,1,4,1,13,55,6,5,1.0
2000177,18,80,7,3,2,5,1,3,3,5,1,2,2,5,5,4,5,2,5,1,5,1,4,1,17,80,6,3,1.0
2000178,15,85,5,2,2,2,1,3,3,5,2,2,4,5,2,2,5,4,4,1,5,1,4,1,15,60,4,4,1.0
2000179,5,25,5,8,2,5,3,3,3,5,3,2,4,5,2,4,5,2,4,5,5,1,4,5,5,20,5,8,1.0
2000180,15,70,5,3,2,2,2,3,3,5,1,2,1,5,3,3,1,4,4,1,2,3,4,1,13,60,7,6,1.0
2000181,18,90,1,1,2,2,1,3,1,5,3,2,4,5,3,4,2,4,1,1,5,1,1,3,16,67,4,5,1.0
2000182,15,76,5,2,2,3,3,2,1,5,1,2,1,5,5,4,5,3,4,1,2,4,4,1,8,33,4,8,1.0
2000183,12,52,5,5,2,2,1,3,3,5,3,2,4,5,4,4,1,1,4,1,5,3,4,1,5,40,9,10,1.0
2000184,9,50,6,6,3,3,5,3,5,5,3,1,1,5,3,1,1,4,1,1,1,4,4,1,9,50,6,6,1.0
2000185,15,60,5,3,2,2,1,3,3,5,3,2,1,5,2,4,5,2,2,5,5,1,4,1,13,60,6,5,1.0
2000186,18,80,4,2,2,2,1,3,3,5,3,2,2,5,3,4,5,4,4,1,1,1,4,4,16,64,4,3,1.0
2000187,15,66,8,6,1,1,3,2,1,2,4,1,1,5,4,4,5,1,1,2,5,4,3,1,7,49,9,9,1.0
2000188,14,68,4,2,3,2,5,3,3,5,3,2,2,5,3,4,1,2,5,4,2,3,4,1,14,65,9,8,1.0
2000189,18,80,4,2,3,5,3,3,3,4,1,2,4,5,3,4,1,2,5,1,1,1,1,1,15,70,6,4,1.0
2000190,12,70,6,2,3,2,1,3,3,5,3,2,2,5,3,4,5,3,5,5,5,1,4,3,5,20,10,9,1.0
2000191,15,50,3,3,2,5,2,3,3,3,3,1,2,5,2,4,5,3,4,3,5,3,4,4,15,50,3,3,1.0
2000192,10,50,7,7,2,2,3,3,3,5,3,2,4,5,2,4,1,2,4,4,2,3,4,4,10,50,7,7,1.0
2000193,15,71,5,3,2,2,1,3,3,5,4,2,3,5,3,3,5,2,4,1,5,3,4,5,8,30,6,8,1.0
2000194,16,51,7,7,1,5,1,5,3,5,4,2,1,5,2,3,1,2,4,1,5,4,1,5,16,64,6,6,1.0
2000195,18,90,5,1,2,2,1,3,3,5,4,2,4,5,1,4,1,2,4,1,5,1,4,3,17,96,5,4,1.0
2000196,18,89,6,2,3,2,3,3,3,5,4,2,2,5,1,2,5,1,4,5,5,1,4,2,15,64,7,8,1.0
2000197,14,45,5,6,3,2,3,3,1,5,4,1,1,5,2,4,5,4,5,5,5,1,4,3,16,54,5,5,1.0
2000198,8,30,4,6,2,2,3,3,1,5,1,2,4,5,1,4,5,2,4,5,5,1,4,2,12,35,5,7,1.0
2000199,10,45,5,5,3,5,1,5,5,1,2,2,1,5,2,2,5,2,3,1,5,4,1,1,10,51,5,5,1.0
2000200,17,64,7,6,3,1,1,3,4,2,4,3,4,5,4,5,5,4,4,4,1,2,3,2,10,57,9,7,1.0
2000201,17,61,3,2,3,2,1,3,3,5,3,2,2,5,3,4,1,2,4,1,1,1,4,1,14,40,5,5,1.0
2000202,16,65,5,4,2,2,1,3,1,5,1,2,4,5,3,4,1,2,4,1,5,1,4,1,15,60,6,5,1.0
2000203,18,90,7,3,3,2,3,4,2,2,4,2,2,5,3,2,5,2,4,3,5,4,4,3,18,80,6,3,1.0
2000204,10,65,7,7,2,2,3,3,3,5,3,2,1,5,4,1,1,3,4,1,2,4,4,1,12,50,8,8,1.0
2000205,20,50,6,6,3,2,5,2,2,5,4,3,3,3,3,5,5,4,5,3,2,2,5,2,8,40,6,6,1.0
2000206,18,88,5,5,2,2,2,3,5,3,3,2,4,5,3,4,5,4,4,1,5,3,4,3,16,79,6,6,1.0
2000207,16,90,7,2,4,2,1,3,3,5,3,1,1,5,2,4,1,2,1,1,2,1,4,1,16,85,7,4,1.0
2000208,10,56,5,6,3,2,5,3,3,5,3,2,2,5,3,4,1,2,3,1,5,1,5,4,6,35,6,8,1.0
2000209,15,50,3,3,2,2,1,3,3,5,3,2,2,5,2,4,5,2,4,5,5,1,4,2,15,50,4,4,1.0
2000210,18,81,1,1,2,2,1,3,3,5,1,2,2,5,4,4,3,2,4,5,1,1,4,4,5,20,6,10,1.0
2000211,7,72,8,9,1,5,1,3,3,5,1,2,2,5,3,1,4,3,2,1,2,4,4,2,6,74,10,9,1.0
